
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-08-22 15:08:43 /api/bot/status .......................................................................... ~ 1s
  2026-08-22 15:08:42 /images/blitz-logo.webp .................................................................. ~ 2s
  2026-08-22 15:08:42 /videos/blitz-intro.mp4 .................................................................. ~ 2s
  2026-08-22 15:08:44 /favicon.svg ......................................................................... ~ 4.68ms
  2026-08-22 15:08:45 /favicon.ico ......................................................................... ~ 0.26ms
  The system cannot find the path specified.
  2026-08-22 15:08:55 /api/captcha/control/status .............................................................. ~ 1s
  The system cannot find the path specified.
  2026-08-22 15:09:10 /api/captcha/control/status .............................................................. ~ 1s
  2026-08-22 15:09:12 /ivac-endpoints .......................................................................... ~ 1s
  2026-08-22 15:09:13 /build/assets/Index-DtxZLcdl.js ...................................................... ~ 0.20ms
  2026-08-22 15:09:13 /build/assets/refresh-cw-B4I-tE4I.js ................................................. ~ 3.89ms
  2026-08-22 15:09:13 /build/assets/info-Cm_QQO__.js ...................................................... ~ 10.31ms
  2026-08-22 15:09:13 /build/assets/pencil-line-VgIGzLtq.js ............................................... ~ 14.18ms
  2026-08-22 15:09:13 /build/assets/undo-2-Di3rMf38.js .................................................... ~ 13.22ms
  2026-08-22 15:09:13 /build/assets/check-DJ944RwS.js ..................................................... ~ 17.35ms
  2026-08-22 15:09:13 /build/assets/rotate-ccw-CPPDUzt1.js ................................................ ~ 21.00ms
  2026-08-22 15:09:13 /build/assets/save-BYyilgWr.js ...................................................... ~ 20.56ms
  2026-08-22 15:09:13 /api/captcha-providers ................................................................... ~ 1s
  2026-08-22 15:09:13 /api/ivac-endpoints ...................................................................... ~ 1s
  The system cannot find the path specified.
  2026-08-22 15:09:13 /api/captcha/control/status .............................................................. ~ 2s
  The system cannot find the path specified.
  2026-08-22 15:09:28 /api/captcha/control/status .............................................................. ~ 1s
  2026-08-22 15:09:29 /bypass-ips .............................................................................. ~ 1s
  2026-08-22 15:09:30 /api-tester ........................................................................ ~ 507.85ms
  2026-08-22 15:09:30 /build/assets/Index-BX1N00sQ.js ...................................................... ~ 3.45ms
  2026-08-22 15:09:30 /build/assets/server-M8hYy70L.js .................................................... ~ 10.04ms
  2026-08-22 15:09:30 /build/assets/chevron-up-DYFtpNjh.js ................................................ ~ 13.91ms
  2026-08-22 15:09:30 /build/assets/chevron-down-B_NaQErP.js .............................................. ~ 15.25ms
  2026-08-22 15:09:30 /build/assets/file-text-BPRg-LR2.js .................................................. ~ 6.73ms
  2026-08-22 15:09:30 /build/assets/download-CvNz3NKc.js ................................................... ~ 9.57ms
  2026-08-22 15:09:30 /api/captcha-providers ................................................................... ~ 1s
  The system cannot find the path specified.
  2026-08-22 15:09:31 /api/captcha/control/status ........................................................ ~ 503.05ms
  2026-08-22 15:09:31 /api/api-tester/context .................................................................. ~ 1s
  2026-08-22 15:09:39 /api/api-tester/session/2 .......................................................... ~ 502.79ms
  2026-08-22 15:09:42 /api/ivac-endpoints ................................................................ ~ 516.85ms
  The system cannot find the path specified.
  2026-08-22 15:09:45 /api/captcha/control/status ........................................................ ~ 515.94ms
  2026-08-22 15:09:52 /api/captcha/request ............................................................... ~ 503.25ms
  2026-08-22 15:09:54 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:09:56 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 503.73ms
  2026-08-22 15:09:57 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 503.54ms
  2026-08-22 15:09:59 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 516.04ms
  The system cannot find the path specified.
  2026-08-22 15:10:00 /api/captcha/control/status ........................................................ ~ 503.48ms
  2026-08-22 15:10:01 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 514.75ms
  2026-08-22 15:10:02 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 502.90ms
  2026-08-22 15:10:04 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 516.96ms
  2026-08-22 15:10:05 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 501.42ms
  2026-08-22 15:10:07 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:10:09 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 503.33ms
  2026-08-22 15:10:10 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 502.10ms
  2026-08-22 15:10:12 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 502.52ms
  2026-08-22 15:10:14 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  The system cannot find the path specified.
  2026-08-22 15:10:15 /api/captcha/control/status ........................................................ ~ 514.16ms
  2026-08-22 15:10:16 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:10:18 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:10:19 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:10:21 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 514.35ms
  2026-08-22 15:10:23 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:10:24 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:10:26 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 516.46ms
  2026-08-22 15:10:28 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:10:30 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 517.28ms
  The system cannot find the path specified.
  2026-08-22 15:10:30 /api/captcha/control/status .............................................................. ~ 1s
  2026-08-22 15:10:31 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 ................................ ~ 1s
  2026-08-22 15:10:33 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 503.16ms
  2026-08-22 15:10:35 /api/captcha/request/65b9a9c9-d525-4454-b798-5240c977c614 .......................... ~ 502.47ms
